name,id
3D Printing,1
Aerospace & Defense,2
Agriculture & AgTech,3
Air Cargo Transport,4
Aircraft Leasing,5
Airlines,6
Auto Manufacturers,7
Auto Parts & Services,8
Basic Chemicals,9
Battery Tech,10
Building Products,11
Cannabis,12
Clean Energy,13
Specialty Chemicals,14
Cleaning & Decontamination,15
Construction & Infrastructure,17
Construction Machinery,18
Building Materials,19
Consulting Services,20
Container and Packaging,21
Drones,22
Electricity Generation,23
Electronic Components,24
Furnishing & Fixtures,26
Home Construction & Maintenance,27
Gold & Silver,28
Heavy Machinery & Parts,29
Household Products,30
Industrial Conglomerates,31
Industrial Metals,32
Lighting Systems,33
Liquified Natural Gas,34
Maritime Transportation,35
Modular Office & Storage,37
Nutrition & Health,38
Oil & Gas Services,39
Oil & Gas Producer,40
Parking,41
Power Generation & Distribution,42
Print Marketing,43
Rail Freight,44
Sharing Economy,45
Security & Protection,46
Renewable Energy,47
Solar Energy,48
Staffing Services,49
Supply Chain Services,50
Real Estate Technology,52
Investment Management Firm,53
Retail Brokerage,54
Traded Private Investment Funds,55
Investment Banking & Advisory,56
Debt Collections,57
Pharmaceuticals,60
Healthcare services & Equipment,62
Trucking,64
Vehicle Rental,65
Waste Management,66
Water Management,67
Bread & Condiments,68
Coffee & Tea,69
Dairy,70
Fruits & Vegetables,71
Health Supplements,72
Meat & Poultry,73
Medical/Cosmetic Ingredients,74
Pets,75
Pharmacies,76
Snacks & Candy,77
Soft/Sports Drink,78
Supermarkets,79
Wine & Liquor,80
Advanced Materials,82
Analytics and AI,83
Apparel Manufacturing & Retail,84
AR/VR,85
Auto Dealer,86
Auto Marketplace,87
Business Intelligence,88
Casino and Resorts,89
Cloud-Based Communications,91
Computer Vision and Sensor,92
Contract Management,93
Cybersecurity,96
Data Storage and Management,98
Digital Content Publisher,99
Digital Marketing & Advertising,100
Digital Media/Web,101
Discount Retail,102
Distributed Work Tools,103
Domain Registry,104
E-commerce Operations,105
E-commerce Platforms,106
Education Services,107
Education Technology,108
Electric Vehicles,109
Electronic Display,110
Electronics Manufacturing,111
Electronics Power Management,112
Enterprise Cloud,113
Fiber Optics and Laser,115
Food Delivery,116
Gaming & Esports,117
Home and Furniture retail,118
Hotels,119
Lease-to-Own Retailer,120
Identity & Authentication,121
Insurance Marketplace & Technology,122
Internet and Cellular Provider,123
IoT,124
Luxury Retail,126
Memory and Storage,127
Mobile Data Capture,128
Nanotechnology,129
Network Equipment,130
Online Travel Company,131
Outdoor & Lifestyle Products,132
Payment Systems,133
Plastics,134
Precision manufacturing,135
ProSports Management,136
Publishers,137
Recreational Vehicle,138
Retail Supply Chain,139
Satellite Communication,140
Semiconductor Equipments,141
Semiconductor Manufacturing,142
Semiconductor Materials,143
Social Media,144
Streaming,145
Supply Chain Technology,146
Technology Conglomerate,147
Technology Consulting,148
Trading System,149
Consumer Lending,150
Pharmaceuticals & Drugs discovery,151
Real Estate Property Management,154
Real Estate Investment & Development,155
TV and Radio,156
TV Shopping Network,157
Video Technology,158
Asset-Based Finance Company,159
Auto Financing,160
Banks,161
Closed-end mutual fund,162
Financial Exchanges & Data,167
Health Care REIT,169
Healthcare Finance,171
Infrastructure Investment Fund,174
Insurance Brokers,176
Investment Research & Data,177
Mortgage Insurance Company,180
Pawn Shops,184
Precious Metal Trading,185
Property & Casualty Insurance,186
Reinsurance,187
Residential Mortgage Financing,188
Retirement Asset Management,190
Security Brokerage & Capital Markets,191
Student Loan,192
Traded Growth/Venture Funds,193
Wealth Management,194
Shell company & SPAC,226
Animal health,227
Animals Health insurance,228
Autoimmune disease,229
Biopharmaceutical,230
Cancer disease,231
Cardiovascular Services & Equipment,232
Coal mining,233
COVID Pharmaceuticals,234
Crowdfunding platform,235
Cryptocurrency brokerage,236
Cryptocurrency infrastructure,237
Cryptocurrency mining,238
Data Centers,239
Dermatology Pharmaceuticals,240
Dermatology services & Equipment,241
Dystrophy disease,242
Electric Vehicles charging,243
Enterprise Software and Services,244
Eye disease,245
Financial and Screening Technologies,246
Gastroenterological disease,247
Healthcare and COVID services,248
Healthcare Information technology,249
Healthcare Robotics,250
Healthcare services,251
Hospitals,252
Implants & Equipment,253
Industrial estate investment trust,254
Kidney disease,255
Laboratory Equipment,256
Land & Farm estate investments,257
Leukemia disease,258
Liver disease,259
Lung cancer disease,260
Man's health,261
Mortgage investments,262
Neurological disease,263
Office estate investments,264
People care,265
Pneumonia disease,266
Rare disease,267
Real Estate Brokerage & Services,268
Real Estate Marketplace,269
Real Estate Property Management Technology,270
Recruitment marketplace,271
Respiratory disease,272
Restaurants,273
Retail estate investments,274
Sales and Marketing Technologies,275
Sleep disorder,276
Social Media Enterprise Software,277
Telecom Infrastructure,278
Transplantology,279
Women's health,280
Motorcycles,281
Tobacco,282
